127.0.0.1 - - [06/Jun/2021:16:09:27 -0300] "GET / HTTP/1.1" 404 763
192.168.0.103 - - [06/Jun/2021:16:09:36 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 358
192.168.0.103 - - [06/Jun/2021:16:10:52 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 358
192.168.0.103 - - [06/Jun/2021:16:11:01 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 326
192.168.0.103 - - [06/Jun/2021:16:11:01 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 20118
192.168.0.103 - - [06/Jun/2021:16:14:09 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 20118
192.168.0.103 - - [06/Jun/2021:16:14:23 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 20118
192.168.0.103 - - [06/Jun/2021:16:18:43 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 20118
192.168.0.103 - - [06/Jun/2021:16:19:47 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 20118
192.168.0.103 - - [06/Jun/2021:16:20:50 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 20118
192.168.0.103 - - [06/Jun/2021:16:39:14 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 20118
192.168.0.103 - - [06/Jun/2021:18:00:48 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 20118
192.168.0.103 - - [06/Jun/2021:18:02:37 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 20118
192.168.0.103 - - [06/Jun/2021:18:04:18 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 20118
192.168.0.103 - - [06/Jun/2021:18:05:17 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 20118
192.168.0.103 - - [06/Jun/2021:18:06:23 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 20118
192.168.0.103 - - [06/Jun/2021:18:07:31 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 20118
192.168.0.103 - - [06/Jun/2021:18:08:54 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 20118
192.168.0.103 - - [06/Jun/2021:18:10:30 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 20118
192.168.0.103 - - [06/Jun/2021:18:11:21 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 20118
192.168.0.103 - - [06/Jun/2021:18:15:06 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 20118
192.168.0.103 - - [06/Jun/2021:18:17:19 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 20118
192.168.0.103 - - [06/Jun/2021:18:20:34 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 20118
192.168.0.103 - - [06/Jun/2021:18:25:11 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 20118
192.168.0.103 - - [06/Jun/2021:18:54:38 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 20118
192.168.0.103 - - [06/Jun/2021:18:57:47 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 20118
192.168.0.103 - - [06/Jun/2021:18:59:49 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 20118
192.168.0.103 - - [06/Jun/2021:19:00:53 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 20118
192.168.0.103 - - [06/Jun/2021:19:01:43 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 20118
192.168.0.103 - - [06/Jun/2021:19:02:49 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 20118
192.168.0.103 - - [06/Jun/2021:19:58:14 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 20118
192.168.0.103 - - [06/Jun/2021:20:12:49 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 20118
192.168.0.103 - - [06/Jun/2021:21:12:55 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 20118
192.168.0.103 - - [06/Jun/2021:21:31:41 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 20118
192.168.0.103 - - [06/Jun/2021:21:32:21 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 326
192.168.0.103 - - [06/Jun/2021:21:32:21 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 36311
192.168.0.103 - - [06/Jun/2021:21:32:29 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 329
192.168.0.103 - - [06/Jun/2021:21:32:29 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 20118
192.168.0.103 - - [06/Jun/2021:21:33:31 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 326
192.168.0.103 - - [06/Jun/2021:21:33:31 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 36314
192.168.0.103 - - [06/Jun/2021:21:54:49 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 36314
192.168.0.103 - - [06/Jun/2021:21:55:41 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 326
192.168.0.103 - - [06/Jun/2021:21:55:42 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 51645
192.168.0.103 - - [06/Jun/2021:22:56:51 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 51645
