127.0.0.1 - - [04/Jul/2021:16:55:52 -0300] "GET / HTTP/1.1" 404 763
192.168.0.104 - - [04/Jul/2021:16:57:30 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 327
192.168.0.104 - - [04/Jul/2021:16:57:30 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 319
192.168.0.104 - - [04/Jul/2021:17:01:07 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 327
192.168.0.104 - - [04/Jul/2021:17:01:07 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 319
192.168.0.104 - - [04/Jul/2021:17:04:10 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 327
192.168.0.104 - - [04/Jul/2021:17:04:10 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 319
192.168.0.104 - - [04/Jul/2021:17:06:57 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 327
192.168.0.104 - - [04/Jul/2021:17:06:57 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 319
192.168.0.104 - - [04/Jul/2021:17:11:10 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 327
192.168.0.104 - - [04/Jul/2021:17:11:10 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 319
192.168.0.104 - - [04/Jul/2021:17:18:37 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 327
192.168.0.104 - - [04/Jul/2021:17:18:37 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 319
192.168.0.104 - - [04/Jul/2021:17:22:02 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 327
192.168.0.104 - - [04/Jul/2021:17:22:02 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 319
192.168.0.104 - - [04/Jul/2021:17:24:23 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 327
192.168.0.104 - - [04/Jul/2021:17:24:23 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 319
192.168.0.104 - - [04/Jul/2021:17:26:44 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 327
192.168.0.104 - - [04/Jul/2021:17:26:44 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 319
192.168.0.104 - - [04/Jul/2021:17:29:08 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 327
192.168.0.104 - - [04/Jul/2021:17:29:08 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 319
192.168.0.104 - - [04/Jul/2021:17:31:25 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 327
192.168.0.104 - - [04/Jul/2021:17:31:25 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 319
192.168.0.104 - - [04/Jul/2021:17:34:12 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 327
192.168.0.104 - - [04/Jul/2021:17:34:12 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 319
192.168.0.104 - - [04/Jul/2021:17:35:44 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 327
192.168.0.104 - - [04/Jul/2021:17:35:44 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 319
192.168.0.104 - - [04/Jul/2021:17:36:41 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 327
192.168.0.104 - - [04/Jul/2021:17:36:41 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 319
192.168.0.104 - - [04/Jul/2021:17:39:30 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 327
192.168.0.104 - - [04/Jul/2021:17:39:30 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 319
