127.0.0.1 - - [03/Jul/2021:15:44:02 -0300] "GET / HTTP/1.1" 404 763
192.168.0.104 - - [03/Jul/2021:15:44:04 -0300] "GET /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 15555
192.168.0.104 - - [03/Jul/2021:15:44:04 -0300] "GET /favicon.ico HTTP/1.1" 404 762
192.168.0.104 - - [03/Jul/2021:15:44:11 -0300] "GET /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 15555
192.168.0.104 - - [03/Jul/2021:15:44:47 -0300] "POST /ServicetoImagem/services/UsuarioDAO.UsuarioDAOHttpSoap12Endpoint/ HTTP/1.1" 200 317
192.168.0.104 - - [03/Jul/2021:15:48:30 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 6584666
192.168.0.104 - - [03/Jul/2021:15:48:54 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 329
192.168.0.104 - - [03/Jul/2021:15:48:56 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 5285083
192.168.0.104 - - [03/Jul/2021:15:49:36 -0300] "POST /ServicetoImagem/services/UsuarioDAO.UsuarioDAOHttpSoap12Endpoint/ HTTP/1.1" 200 317
192.168.0.104 - - [03/Jul/2021:15:50:11 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 329
192.168.0.104 - - [03/Jul/2021:15:50:12 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 5284861
192.168.0.104 - - [03/Jul/2021:15:50:16 -0300] "POST /ServicetoImagem/services/UsuarioDAO.UsuarioDAOHttpSoap12Endpoint/ HTTP/1.1" 200 317
192.168.0.104 - - [03/Jul/2021:15:50:27 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 329
192.168.0.104 - - [03/Jul/2021:15:50:27 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 3985284
192.168.0.104 - - [03/Jul/2021:15:50:32 -0300] "POST /ServicetoImagem/services/UsuarioDAO.UsuarioDAOHttpSoap12Endpoint/ HTTP/1.1" 200 317
192.168.0.104 - - [03/Jul/2021:15:50:46 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 329
192.168.0.104 - - [03/Jul/2021:15:50:46 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 3985058
192.168.0.104 - - [03/Jul/2021:15:50:49 -0300] "POST /ServicetoImagem/services/UsuarioDAO.UsuarioDAOHttpSoap12Endpoint/ HTTP/1.1" 200 317
192.168.0.104 - - [03/Jul/2021:15:52:55 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 3985058
192.168.0.104 - - [03/Jul/2021:15:55:01 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 326
192.168.0.104 - - [03/Jul/2021:15:55:01 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 319
192.168.0.104 - - [03/Jul/2021:15:58:20 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 326
192.168.0.104 - - [03/Jul/2021:15:58:20 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 319
192.168.0.101 - - [03/Jul/2021:16:02:52 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 327
192.168.0.101 - - [03/Jul/2021:16:02:53 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 319
192.168.0.101 - - [03/Jul/2021:16:03:23 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 327
192.168.0.101 - - [03/Jul/2021:16:03:23 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 319
192.168.0.101 - - [03/Jul/2021:16:03:56 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 327
192.168.0.101 - - [03/Jul/2021:16:03:56 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 319
192.168.0.101 - - [03/Jul/2021:16:05:36 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 327
192.168.0.101 - - [03/Jul/2021:16:05:37 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 319
192.168.0.101 - - [03/Jul/2021:16:06:13 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 327
192.168.0.101 - - [03/Jul/2021:16:06:13 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 319
192.168.0.104 - - [03/Jul/2021:16:12:00 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 327
192.168.0.104 - - [03/Jul/2021:16:12:00 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 319
192.168.0.104 - - [03/Jul/2021:16:23:15 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 327
192.168.0.104 - - [03/Jul/2021:16:23:15 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 319
192.168.0.101 - - [03/Jul/2021:16:25:58 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 327
192.168.0.101 - - [03/Jul/2021:16:25:59 -0300] "POST /ServicetoImagem/services/UsuarioDAO?wsdl HTTP/1.1" 200 319
